EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	06:17:25	0.0200	0.5496	0.4836	0.7780	0.7780	0.7780	0.7780
2	10:56:57	0.0200	0.4803	0.4733	0.7773	0.7773	0.7773	0.7773
3	15:36:00	0.0200	0.4397	0.4858	0.7712	0.7712	0.7712	0.7712
4	20:14:32	0.0200	0.4022	0.4781	0.7761	0.7761	0.7761	0.7761
5	00:53:48	0.0200	0.3697	0.4780	0.7764	0.7764	0.7764	0.7764
6	05:35:17	0.0200	0.3367	0.4815	0.7761	0.7761	0.7761	0.7761
7	10:13:44	0.0200	0.3044	0.4845	0.7764	0.7764	0.7764	0.7764
8	14:53:33	0.0100	0.2254	0.4996	0.7728	0.7728	0.7728	0.7728
9	19:33:00	0.0100	0.1886	0.4984	0.7748	0.7748	0.7748	0.7748
10	00:15:13	0.0100	0.1787	0.5045	0.7732	0.7732	0.7732	0.7732
11	04:55:15	0.0100	0.1623	0.5109	0.7728	0.7728	0.7728	0.7728
12	09:33:56	0.0100	0.1500	0.5181	0.7722	0.7722	0.7722	0.7722
13	14:09:32	0.0100	0.1351	0.5230	0.7725	0.7725	0.7725	0.7725
14	18:48:07	0.0050	0.0959	0.5275	0.7719	0.7719	0.7719	0.7719
15	23:27:35	0.0050	0.0795	0.5260	0.7722	0.7722	0.7722	0.7722
16	04:07:25	0.0050	0.0718	0.5234	0.7728	0.7728	0.7728	0.7728
17	08:47:06	0.0050	0.0635	0.5258	0.7712	0.7712	0.7712	0.7712
18	13:26:29	0.0050	0.0616	0.5236	0.7709	0.7709	0.7709	0.7709
19	18:05:46	0.0050	0.0573	0.5270	0.7693	0.7693	0.7693	0.7693
20	22:43:56	0.0025	0.0481	0.5253	0.7693	0.7693	0.7693	0.7693
21	03:25:56	0.0025	0.0454	0.5230	0.7709	0.7709	0.7709	0.7709
22	08:07:39	0.0025	0.0444	0.5240	0.7706	0.7706	0.7706	0.7706
23	12:47:47	0.0025	0.0431	0.5228	0.7709	0.7709	0.7709	0.7709
24	17:28:08	0.0025	0.0423	0.5207	0.7703	0.7703	0.7703	0.7703
25	22:08:36	0.0025	0.0417	0.5244	0.7696	0.7696	0.7696	0.7696
26	02:49:01	0.0013	0.0389	0.5206	0.7709	0.7709	0.7709	0.7709
27	07:30:51	0.0013	0.0378	0.5229	0.7703	0.7703	0.7703	0.7703
28	12:12:00	0.0013	0.0377	0.5219	0.7709	0.7709	0.7709	0.7709
29	16:54:41	0.0013	0.0371	0.5216	0.7706	0.7706	0.7706	0.7706
30	21:35:12	0.0013	0.0373	0.5230	0.7709	0.7709	0.7709	0.7709
